Date;ENGI FP Equity;CS FP Equity;RTY Index;SPX Index;SX5E Index;SXXP Index
27/10/2021;12.33;24.41;2252.491;4551.68;4220.88;474.04
26/10/2021;12.192;24.45;2296.075;4574.79;4223.97;475.74
25/10/2021;12.086;23.93;2312.64;4566.48;4188.31;472.21
22/10/2021;12.162;23.945;2291.266;4544.9;4188.81;471.88
21/10/2021;12.098;23.735;2296.185;4549.78;4155.73;469.71
20/10/2021;12.002;23.995;2289.765;4536.19;4172.17;470.07
19/10/2021;11.818;23.935;2275.914;4519.63;4166.83;468.58
18/10/2021;11.60;23.905;2267.843;4486.46;4151.4;467.04
15/10/2021;11.654;23.925;2265.654;4471.37;4182.91;469.39
14/10/2021;11.544;23.70;2274.177;4438.26;4149.06;465.92
13/10/2021;11.628;23.505;2241.968;4363.8;4083.28;460.39
12/10/2021;11.552;24.035;2234.271;4350.65;4055.09;457.21
11/10/2021;11.57;24.225;2220.641;4361.19;4072.52;457.53
08/10/2021;11.598;24.19;2233.089;4391.34;4073.29;457.29
07/10/2021;11.704;24.21;2250.094;4399.76;4098.34;458.57
06/10/2021;11.656;23.75;2214.958;4363.55;4012.65;451.33
05/10/2021;11.852;24.28;2228.358;4345.72;4065.43;456.03
04/10/2021;11.698;23.82;2217.47;4300.46;3996.41;450.77
01/10/2021;11.624;23.875;2241.632;4357.04;4035.3;452.9
30/09/2021;11.342;24.085;2204.372;4307.54;4048.08;454.81
29/09/2021;11.618;23.94;2225.308;4359.46;4080.22;455.03
28/09/2021;11.69;23.595;2229.778;4352.63;4058.82;452.35
27/09/2021;11.824;23.88;2281.003;4443.11;4165.48;462.42
24/09/2021;11.70;23.505;2248.07;4455.48;4158.51;463.29
23/09/2021;11.758;23.38;2259.041;4448.98;4194.92;467.5
22/09/2021;11.63;23.045;2218.561;4395.64;4150.19;463.2
21/09/2021;11.75;22.625;2186.183;4354.19;4097.51;458.68
20/09/2021;11.746;22.37;2182.202;4357.73;4043.63;454.12
17/09/2021;11.834;23.095;2236.871;4432.99;4130.84;461.84
16/09/2021;11.764;23.33;2232.911;4473.75;4169.87;465.95
15/09/2021;11.77;23.26;2234.448;4480.7;4145.94;463.91
14/09/2021;11.986;23.255;2209.985;4443.05;4191.67;467.65
13/09/2021;11.972;23.48;2240.784;4468.73;4189.53;467.69
10/09/2021;11.758;23.225;2227.546;4458.58;4170.35;466.34
09/09/2021;12.004;23.35;2249.129;4493.28;4177.11;467.57
08/09/2021;12.028;23.37;2249.726;4514.07;4177.15;467.87
07/09/2021;11.888;23.645;2275.611;4520.03;4225.01;472.87
06/09/2021;12.056;23.765;#N/A;#N/A;4246.13;475.19
03/09/2021;11.994;23.59;2292.048;4535.43;4201.98;471.93
02/09/2021;12.09;23.765;2304.017;4536.95;4232.1;474.6
01/09/2021;12.256;23.86;2287.059;4524.09;4227.27;473.12
31/08/2021;12.132;23.78;2273.774;4522.68;4196.41;470.88
30/08/2021;12.08;23.955;2265.99;4528.79;4198.8;472.68
27/08/2021;12.034;24.065;2277.151;4509.37;4190.98;472.34
26/08/2021;12.048;24.04;2213.979;4470;4169.87;470.34
25/08/2021;12.212;24.135;2239.269;4496.19;4181.12;471.84
24/08/2021;12.374;24.17;2230.906;4486.23;4178.08;471.79
23/08/2021;12.316;24.145;2208.295;4479.53;4176.42;471.88
20/08/2021;12.338;23.99;2167.6;4441.67;4147.5;468.8
19/08/2021;12.164;23.925;2132.42;4405.8;4124.71;467.24
18/08/2021;12.148;24.42;2158.78;4400.27;4189.42;474.42
17/08/2021;11.95;24.165;2177.173;4448.08;4196.4;473.78
16/08/2021;11.952;24.33;2203.415;4479.71;4202.44;473.45
13/08/2021;11.922;24.445;2223.108;4468;4229.7;475.83
12/08/2021;11.794;24.265;2244.073;4460.83;4226.33;474.84
11/08/2021;11.80;24.105;2250.343;4447.7;4206.33;474.32
10/08/2021;11.682;23.84;2239.363;4436.75;4187.82;472.32
09/08/2021;11.654;23.77;2234.808;4432.35;4177.15;470.68
06/08/2021;11.65;23.68;2247.761;4436.52;4174.54;469.97
05/08/2021;11.622;23.38;2236.007;4429.1;4161.08;469.96
04/08/2021;11.518;23.15;2196.322;4402.66;4144.9;468.22
03/08/2021;11.482;23.095;2223.581;4423.15;4117.95;465.38
02/08/2021;11.346;22.805;2215.495;4387.16;4116.62;464.45
30/07/2021;11.252;21.88;2226.246;4395.26;4089.3;461.74
29/07/2021;11.60;21.915;2240.029;4419.15;4116.77;463.84
28/07/2021;11.558;21.825;2224.957;4400.64;4103.03;461.7
27/07/2021;11.398;21.805;2191.833;4401.46;4064.83;458.65
26/07/2021;11.486;21.90;2216.921;4422.3;4102.59;461.14
23/07/2021;11.464;21.77;2209.649;4411.79;4109.1;461.51
22/07/2021;11.316;21.765;2199.475;4367.48;4059.05;456.53
21/07/2021;11.182;21.64;2234.042;4358.69;4026.68;453.97
20/07/2021;11.092;21.21;2194.298;4323.06;3956.34;446.61
19/07/2021;11.228;21.00;2130.68;4258.49;3928.53;444.29
16/07/2021;11.622;21.62;2163.238;4327.16;4035.77;454.74
15/07/2021;11.456;21.765;2190.293;4360.03;4056.39;456.2
14/07/2021;11.612;21.815;2202.358;4374.3;4099.5;460.56
13/07/2021;11.618;21.77;2238.864;4369.21;4094.56;460.96
12/07/2021;11.64;21.825;2281.825;4384.63;4093.38;460.83
09/07/2021;11.606;21.815;2280.005;4369.55;4068.09;457.67
08/07/2021;11.528;21.285;2231.677;4320.82;3991.66;451.61
07/07/2021;11.68;21.615;2252.847;4358.13;4078.53;459.53
06/07/2021;11.594;21.56;2274.502;4343.54;4052.67;455.98
05/07/2021;11.698;21.905;#N/A;#N/A;4087.37;458.36
02/07/2021;11.754;21.75;2305.762;4352.34;4084.31;456.81
01/07/2021;11.732;21.69;2329.359;4319.94;4078.89;455.63
30/06/2021;11.554;21.385;2310.549;4297.5;4064.3;452.84
29/06/2021;11.566;21.665;2308.837;4291.8;4107.51;456.37
28/06/2021;11.592;21.605;2322.336;4290.61;4089.91;454.94
25/06/2021;11.63;21.98;2334.396;4280.7;4120.66;457.63
24/06/2021;11.684;21.73;2333.622;4266.49;4122.43;457.04
23/06/2021;11.57;21.42;2303.469;4241.84;4075.94;453.1
22/06/2021;11.73;21.68;2295.948;4246.44;4123.13;456.42
21/06/2021;11.80;21.825;2286.093;4224.79;4112.33;455.23
18/06/2021;11.90;22.05;2237.745;4166.45;4083.37;452.05
17/06/2021;12.128;22.885;2287.46;4221.86;4158.14;459.33
16/06/2021;12.244;22.74;2314.691;4223.7;4151.76;459.86
15/06/2021;12.332;22.745;2320.072;4246.59;4143.52;458.81
14/06/2021;12.308;22.475;2326.145;4255.15;4132.67;458.32
11/06/2021;12.316;22.405;2335.808;4247.44;4126.7;457.51
10/06/2021;12.206;22.305;2311.409;4239.18;4096.07;454.56
09/06/2021;12.292;22.46;2327.128;4219.55;4096.85;454.44
08/06/2021;12.34;22.895;2343.758;4227.26;4096.01;454.01
07/06/2021;12.39;22.985;2319.177;4226.52;4097.65;453.56
04/06/2021;12.31;22.835;2286.412;4229.89;4089.38;452.57
03/06/2021;12.332;22.805;2279.248;4192.85;4079.24;450.79
02/06/2021;12.338;22.85;2297.834;4208.12;4088.5;451.34
01/06/2021;12.282;22.79;2294.742;4202.04;4071.75;450.1
